Gene_Name	Accession-1	Left-End-Position	Right-End-Position	Product
ptsN	BW25113_RS16605	3339937	3340428	phosphotransferase_system_enzyme_IIA(Ntr)
tdh	BW25113_RS18780	3783680	3784705	threonine_dehydrogenase
yheS	BW25113_RS17375	3474648	3476561	putative_ATP-binding_protein_YheS
yneP	BW25113_RS25610	1573802	1573924	protein_YneP
nuoE	BW25113_RS11935	2395031	2395531	NADH:quinone_oxidoreductase_subunit_E
asnB	BW25113_RS03475	692969	694633	asparagine_synthetase_B
yegT	BW25113_RS10945	2172300	2173577	putative_transporter_YegT
decR	BW25113_RS02315	463839	464297	DNA-binding_transcriptional_activator_DecR
suhB	BW25113_RS13210	2656801	2657604	Nus_factor_SuhB
degS	BW25113_RS16770	3375559	3376626	serine_endoprotease
nagC	BW25113_RS03485	695830	697050	DNA-binding_transcriptional_dual_regulator_NagC
ibpA	BW25113_RS19165	3860369	3860782	small_heat_shock_protein_IbpA
tktA	BW25113_RS15245	3073003	3074994	transketolase_1
talA	BW25113_RS12845	2572025	2572975	transaldolase_A
ushA	BW25113_RS02480	500370	502022	5'-nucleotidase_/_UDP-sugar_hydrolase
ynbB	BW25113_RS07390	1472483	1473379	putative_CDP-diglyceride_synthase
gatB	BW25113_RS10920	2167761	2168045	galactitol-specific_PTS_enzyme_IIB_component
ndh	BW25113_RS05770	1161541	1162845	NADH:quinone_oxidoreductase_II
dnaT	BW25113_RS22710	4590795	4591334	primosomal_protein_DnaT
glnA	BW25113_RS20080	4049985	4051394	glutamine_synthetase
ybbP	BW25113_RS02560	515872	518286	putative_ABC_transporter_membrane_subunit_YbbP
hybC	BW25113_RS15550	3134645	3136348	hydrogenase_2_large_subunit
BW25113_RS25960	BW25113_RS25960	19658	19795	fimbrial_family_protein
cyoE	BW25113_RS02215	442271	443161	heme_O_synthase
fabD	BW25113_RS05685	1145184	1146113	[acyl-carrier-protein]_<i>S</i>-malonyltransferase
gfcE	BW25113_RS05105	1040120	1041259	putative_exopolysaccharide_export_lipoprotein_GfcE
zapA	BW25113_RS15130	3048971	3049300	cell_division_protein_ZapA
recX	BW25113_RS14045	2815498	2815998	RecA_inhibitor_RecX
yihL	BW25113_RS20095	4053807	4054517	putative_DNA-binding_transcriptional_regulator_YihL
nadE	BW25113_RS09100	1816715	1817542	NH<sub>3</sub>-dependent_NAD<sup>+</sup>_synthetase
sdhA	BW25113_RS03745	751363	753129	succinate:quinone_oxidoreductase,_FAD_binding_protein
waaB	BW25113_RS18840	3796418	3797497	UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase
mpl	BW25113_RS21985	4445602	4446975	UDP-<i>N</i>-acetylmuramate&mdash;L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminoheptanedioate_ligase
mppA	BW25113_RS06970	1387484	1389097	murein_tripeptide_ABC_transporter_periplasmic_binding_protein
feoC	BW25113_RS17670	3536087	3536323	ferrous_iron_transport_protein_FeoC
yjfN	BW25113_RS21760	4405834	4406109	protease_activator_YjfN
pitB	BW25113_RS15515	3128231	3129730	metal_phosphate:H<sup>+</sup>_symporter_PitB
yeaL	BW25113_RS09360	1868609	1869055	DUF441_domain-containing_inner_membrane_protein_YeaL
kdpD	BW25113_RS03595	717186	719870	sensor_histidine_kinase_KdpD
yajI	BW25113_RS02135	427768	428307	putative_lipoprotein_YajI
yicG	BW25113_RS18930	3812234	3812851	PF03458_family_inner_membrane_protein_YicG
recF	BW25113_RS19235	3873508	3874581	recombination_mediator_protein_RecF
envY	BW25113_RS02935	581603	582364	DNA-binding_transcriptional_activator_EnvY
ydiK	BW25113_RS08830	1763331	1764443	putative_transporter_YdiK
gadW	BW25113_RS18220	3657250	3657978	DNA-binding_transcriptional_dual_regulator_GadW
gudD	BW25113_RS14495	2911404	2912744	<i>D</i>-glucarate_dehydratase
mglA	BW25113_RS11210	2231248	2232768	D-galactose/methyl-galactoside_ABC_transporter_ATP_binding_subunit
BW25113_RS19525	BW25113_RS19525	3936795	3936870	tRNA-Glu
ydfV	BW25113_RS23835	1640154	1640459	Qin_prophage;_protein_YdfV
chpS	BW25113_RS21945	4438264	4438515	ChpS_antitoxin_of_the_ChpB-ChpS_toxin-antitoxin_system
trxA	BW25113_RS19630	3959121	3959450	reduced_thioredoxin_1
adiA	BW25113_RS21380	4328071	4330338	arginine_decarboxylase,_degradative
fsaB	BW25113_RS20480	4128974	4129636	fructose-6-phosphate_aldolase_2
yohP	BW25113_RS11160	2222461	2222544	uncharacterized_membrane_protein_YohP
hcaB	BW25113_RS13250	2664584	2665396	2,3-dihydroxy-2,3-dihydrophenylpropionate_dehydrogenase
ynjB	BW25113_RS09175	1830330	1831496	putative_ABC_transporter_periplasmic_binding_protein_YnjB
rrf	BW25113_RS16980	3417029	3417144	5S_ribosomal_RNA
pphB	BW25113_RS14230	2853119	2853775	phosphoprotein_phosphatase_2
rpsE	BW25113_RS17125	3438085	3438588	30S_ribosomal_protein_S5
uxuA	BW25113_RS22490	4541453	4542637	D-mannonate_dehydratase
rsd	BW25113_RS20730	4186260	4186736	regulator_of_sigma_D
BW25113_RS25400	BW25113_RS25400	59296	59474	IS4_family_transposase
fliR	BW25113_RS10195	2016374	2017159	flagellar_biosynthesis_protein_FliR
gntU	BW25113_RS17790	3569081	3570421	low-affinity_gluconate_transporter
deaD	BW25113_RS16395	3299330	3301219	ATP-dependent_RNA_helicase_DeaD
srlB	BW25113_RS14075	2820721	2821092	sorbitol-specific_PTS_enzyme_IIA_component
artQ	BW25113_RS04475	896990	897706	L-arginine_ABC_transporter_membrane_subunit_ArtQ
ydhI	BW25113_RS08600	1715282	1715518	DUF1656_domain-containing_protein_YdhI
ugpQ	BW25113_RS17850	3580730	3581473	glycerophosphodiester_phosphodiesterase_UgpQ
ybeY	BW25113_RS03420	687330	687797	endoribonuclease_YbeY
pdeH	BW25113_RS18270	3671780	3672547	cyclic_di-GMP_phosphodiesterase_PdeH
ivbL	BW25113_RS19075	3846250	3846348	<i>ilvBN</i>_operon_leader_peptide
pqqL	BW25113_RS07835	1566664	1569447	periplasmic_metalloprotease
pxpA	BW25113_RS03690	740621	741355	5-oxoprolinase_component_A
hypT	BW25113_RS22535	4547195	4548106	DNA-binding_transcriptional_dual_regulator_HypT
BW25113_RS18155	BW25113_RS18155	3644651	3645397	hypothetical_protein
yecF	BW25113_RS10025	1989299	1989523	DUF2594_domain-containing_protein_YecF
glcB	BW25113_RS15455	3114993	3117164	malate_synthase_G
arnT	BW25113_RS11790	2364387	2366039	lipid_IVA_4-amino-4-deoxy-L-arabinosyltransferase
rnr	BW25113_RS21715	4396471	4398912	RNase_R
pepE	BW25113_RS20860	4219381	4220070	peptidase_E
accC	BW25113_RS16885	3399276	3400625	biotin_carboxylase
narH	BW25113_RS07695	1531566	1533110	nitrate_reductase_Z_subunit_&beta;
arfB	BW25113_RS00960	211320	211742	peptidyl-tRNA_hydrolase,_ribosome_rescue_factor
aes	BW25113_RS02460	494470	495429	acetylesterase
ynfC	BW25113_RS08295	1651004	1651714	PF06788_family_lipoprotein_YnfC
uspB	BW25113_RS18095	3632745	3633080	universal_stress_protein_B
relB	BW25113_RS08205	1639890	1640129	Qin_prophage;_antitoxin/DNA-binding_transcriptional_repressor_RelB
rnhA	BW25113_RS01075	232022	232489	ribonuclease_HI
exbD	BW25113_RS15600	3144177	3144602	Ton_complex_subunit_ExbD
rlmF	BW25113_RS04190	837788	838714	23S_rRNA_m<sup>6</sup>A1618_methyltransferase
BW25113_RS09990	BW25113_RS09990	1985296	1985382	tRNA-Leu
tsr	BW25113_RS22675	4581474	4583129	methyl-accepting_chemotaxis_protein_Tsr
dacB	BW25113_RS16495	3322322	3323755	peptidoglycan_DD-endopeptidase_DacB
cpoB	BW25113_RS03850	775054	775845	cell_division_coordinator_CpoB
rpoA	BW25113_RS17085	3433399	3434388	RNA_polymerase_subunit_&alpha;
lpxK	BW25113_RS04745	963822	964808	tetraacyldisaccharide_4'-kinase
yjbS	BW25113_RS26020	4258737	4258940	uncharacterized_protein_YjbS
allS	BW25113_RS02595	526751	527677	DNA-binding_transcriptional_activator_AllS
folE	BW25113_RS11235	2236463	2237131	GTP_cyclohydrolase_1
cspF	BW25113_RS08170	1636112	1636324	Qin_prophage;_cold_shock-like_protein_CspF
gabT	BW25113_RS13860	2786094	2787374	4-aminobutyrate_aminotransferase_GabT
thiE	BW25113_RS20720	4183497	4184132	thiamine_phosphate_synthase
yggF	BW25113_RS15225	3068576	3069541	fructose_1,6-bisphosphatase_YggF
BW25113_RS23145	BW25113_RS23145	3701808	3701941	RtT_sRNA
BW25113_RS20645	BW25113_RS20645	4165682	4165757	tRNA-Thr
narH	BW25113_RS06395	1279060	1280598	nitrate_reductase_A_subunit_&beta;
scpB	BW25113_RS15170	3057352	3058137	methylmalonyl-CoA_decarboxylase
yebW	BW25113_RS09625	1916378	1916569	DUF1482_domain-containing_protein_YebW
puuB	BW25113_RS06820	1358489	1359769	&gamma;-glutamylputrescine_oxidase
surA	BW25113_RS00275	53416	54702	chaperone_SurA
ybbC	BW25113_RS02570	523037	523405	PF15631_family_protein_YbbC
yjjG	BW25113_RS22775	4598463	4599140	pyrimidine_5'-nucleotidase_YjjG
sgcC	BW25113_RS22360	4518747	4520060	putative_PTS_enzyme_IIC_component_SgcC
dnaC	BW25113_RS22705	4590055	4590792	DNA_replication_protein_DnaC
yfgO	BW25113_RS13005	2608179	2609240	putative_transporter_YfgO
yhdE	BW25113_RS16830	3391144	3391737	nucleoside_triphosphate_pyrophosphatase_YhdE
yfhL	BW25113_RS13355	2693022	2693282	putative_4Fe-4S_cluster-containing_protein_YfhL
lon	BW25113_RS02275	454344	456698	Lon_protease
BW25113_RS20800	BW25113_RS20800	4199971	4202874	23S_ribosomal_RNA
nlpA	BW25113_RS19010	3832535	3833353	lipoprotein_NlpA
yrfG	BW25113_RS17610	3522028	3522696	purine_nucleotidase
arsB	BW25113_RS18145	3642295	3643584	arsenite/antimonite:H<sup>+</sup>_antiporter
ycjF	BW25113_RS06925	1379768	1380829	DUF697_domain-containing_inner_membrane_protein_YcjF
hemF	BW25113_RS12705	2546584	2547483	coproporphyrinogen_III_oxidase
gloB	BW25113_RS01065	230514	231269	hydroxyacylglutathione_hydrolase_GloB
BW25113_RS25915	BW25113_RS25915	396457	396660	hypothetical_protein
acrR	BW25113_RS02395	481217	481864	DNA-binding_transcriptional_repressor_AcrR
accA	BW25113_RS00925	205108	206067	acetyl-CoA_carboxyltransferase_subunit_&alpha;
rcsD	BW25113_RS11575	2306967	2309639	RcsD_phosphotransferase
crcB	BW25113_RS03245	653011	653394	F<sup>-</sup>_channel
speA	BW25113_RS15260	3077294	3079270	biosynthetic_arginine_decarboxylase
yafS	BW25113_RS01070	231303	232025	putative_S-adenosyl-L-methionine-dependent_methyltransferase
rlmN	BW25113_RS13130	2636488	2637642	23S_rRNA_m<sup>2</sup>A2503_methyltransferase/tRNA_m<sup>2</sup>A37_methyltransferase
fruA	BW25113_RS11310	2253198	2254889	fructose-specific_PTS_multiphosphoryl_transfer_protein_FruA
hlyE	BW25113_RS06155	1224939	1225850	hemolysin_E
acpT	BW25113_RS17990	3606329	3606916	holo-[acyl_carrier_protein]_synthase_2
ygaZ	BW25113_RS13955	2802976	2803713	L-valine_exporter,_YgaZ_component
rnd	BW25113_RS09440	1881121	1882236	RNase_D
yoaJ	BW25113_RS25115	1873131	1873205	uncharacterized_protein_YoaJ
rsxD	BW25113_RS08530	1703399	1704457	SoxR_[2Fe-2S]_reducing_system_protein_RsxD
BW25113_RS26000	BW25113_RS26000	2466357	2467064	helix-turn-helix_domain-containing_protein
yejE	BW25113_RS11375	2268752	2269777	putative_oligopeptide_ABC_transporter_membrane_subunit_YejE
rimJ	BW25113_RS05555	1121018	1121602	ribosomal-protein-S5-alanine_N-acetyltransferase
dhaM	BW25113_RS06235	1243152	1244570	dihydroxyacetone_kinase_subunit_M
ygcW	BW25113_RS14425	2892847	2893632	SDR_family_oxidoreductase
mazG	BW25113_RS14465	2903253	2904044	nucleoside_triphosphate_pyrophosphohydrolase
ispD	BW25113_RS14295	2865139	2865849	2-<i>C</i>-methyl-D-erythritol_4-phosphate_cytidylyltransferase
BW25113_RS21635	BW25113_RS21635	4382177	4382252	tRNA-Gly
cutC	BW25113_RS09825	1952777	1953523	PF03932_family_protein_CutC
soxR	BW25113_RS21100	4267397	4267861	DNA-binding_transcriptional_dual_regulator_SoxR
dam	BW25113_RS17550	3508436	3509272	DNA_adenine_methyltransferase
modA	BW25113_RS03965	790545	791318	molybdate_ABC_transporter_periplasmic_binding_protein
waaY	BW25113_RS18825	3793627	3794325	lipopolysaccharide_core_heptose_(II)_kinase
mdtP	BW25113_RS21190	4289381	4290847	putative_multidrug_efflux_pump_outer_membrane_channel
rpsL	BW25113_RS17320	3467537	3467911	30S_ribosomal_protein_S12
pdeK	BW25113_RS18295	3676990	3678978	c-di-GMP_phosphodiesterase_PdeK
mepK	BW25113_RS04800	978531	979079	peptidoglycan_L,D-endopeptidase
ytfF	BW25113_RS21875	4421908	4422873	inner_membrane_protein_YtfF
ydjF	BW25113_RS09265	1848353	1849111	putative_DNA-binding_transcriptional_regulator_YdjF
fhuD	BW25113_RS00765	167062	167952	iron(III)_hydroxamate_ABC_transporter_periplasmic_binding_protein
wecB	BW25113_RS19660	3963493	3964623	UDP-<i>N</i>-acetylglucosamine_2-epimerase
glgC	BW25113_RS17765	3561393	3562688	glucose-1-phosphate_adenylyltransferase
ycjX	BW25113_RS06920	1378374	1379771	DUF463_domain-containing_protein_YcjX
ylbF	BW25113_RS02670	545083	545898	DUF2877_domain-containing_protein_YlbF
cysH	BW25113_RS14370	2880937	2881671	phosphoadenosine_phosphosulfate_reductase
abpA	BW25113_RS13710	2756896	2758512	CP4-57_prophage;_anti-bacteriophage_protein
yiaF	BW25113_RS18440	3711694	3712404	DUF3053_domain-containing_protein_YiaF
ynbD	BW25113_RS07400	1475142	1476458	phosphatase_domain-containing_protein_YnbD
yccM	BW25113_RS05160	1047745	1048818	putative_electron_transport_protein_YccM
glnG	BW25113_RS20070	4047229	4048638	DNA-binding_transcriptional_dual_regulator_NtrC
rplU	BW25113_RS16515	3326499	3326810	50S_ribosomal_protein_L21
paaY	BW25113_RS07345	1458728	1459318	2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA_thioesterase
BW25113_RS01930	BW25113_RS01930	388432	389874	autotransporter_outer_membrane_beta-barrel_domain-containing_protein
pgsA	BW25113_RS10005	1985750	1986298	CDP-diacylglycerol&mdash;glycerol-3-phosphate_3-phosphatidyltransferase
yicL	BW25113_RS19005	3831608	3832531	putative_transporter_YicL
hofN	BW25113_RS17585	3514792	3515331	DNA_utilization_protein_HofN
mlc	BW25113_RS08340	1661601	1662821	DNA-binding_transcriptional_repressor_Mlc
yejL	BW25113_RS11415	2277608	2277835	DUF1414_domain-containing_protein_YejL
yhfL	BW25113_RS17465	3492807	3492974	DUF4223_domain-containing_lipoprotein_YhfL
tolQ	BW25113_RS03825	770609	771301	Tol-Pal_system_protein_TolQ
yohK	BW25113_RS11175	2224498	2225193	putative_3-hydroxypropanoate_export_protein_YohK
rffH	BW25113_RS19675	3966968	3967849	glucose-1-phosphate_thymidylyltransferase_2
proC	BW25113_RS02000	400291	401100	pyrroline-5-carboxylate_reductase
btuB	BW25113_RS20580	4153567	4155411	cobalamin_outer_membrane_transporter
ppdC	BW25113_RS14680	2955800	2956123	prepilin-type_N-terminal_cleavage/methylation_domain-containing_protein_PpdC
BW25113_RS13525	BW25113_RS13525	2719640	2722543	23S_ribosomal_RNA
intE	BW25113_RS05930	1195135	1196262	e14_prophage;_putative_integrase
dapE	BW25113_RS12890	2584966	2586093	succinyl-diaminopimelate_desuccinylase
argO	BW25113_RS15190	3061532	3062167	L-arginine_exporter
ycaP	BW25113_RS04700	952218	952910	DUF421_domain-containing_protein_YcaP
glpC	BW25113_RS11715	2349000	2350190	anaerobic_glycerol-3-phosphate_dehydrogenase_subunit_C
yacG	BW25113_RS00505	108136	108333	DNA_gyrase_inhibitor_YacG
norV	BW25113_RS14105	2825835	2827274	anaerobic_nitric_oxide_reductase_flavorubredoxin
panE	BW25113_RS02200	439060	439971	2-dehydropantoate_2-reductase
ybeR	BW25113_RS03350	672167	672874	DUF1266_domain-containing_protein_YbeR
ycfT	BW25113_RS05800	1169548	1170621	acyltransferase_family_protein
yqiK	BW25113_RS15835	3186223	3187884	flotillin_family_inner_membrane_protein_YqiK
topA	BW25113_RS06645	1325305	1327902	DNA_topoisomerase_I
degQ	BW25113_RS16765	3374102	3375469	periplasmic_serine_endoprotease
yggX	BW25113_RS15385	3097452	3097727	putative_Fe<sup>2+</sup>-trafficking_protein
yhgH	BW25113_RS17685	3538241	3538924	DNA_utilization_protein_YhgH
dgt	BW25113_RS00805	175724	177241	dGTP_triphosphohydrolase
grxA	BW25113_RS04405	885952	886209	reduced_glutaredoxin_1
yhcO	BW25113_RS16790	3379216	3379488	putative_barnase_inhibitor
yafP	BW25113_RS01185	249196	249648	putative_<i>N</i>-acetyltransferase_YafP
hisS	BW25113_RS13115	2632660	2633934	histidine&mdash;tRNA_ligase
rlmC	BW25113_RS04460	893974	895101	23S_rRNA_m<sup>5</sup>U747_methyltransferase
yahI	BW25113_RS01665	335876	336826	carbamate_kinase-like_protein_YahI
malT	BW25113_RS17710	3546444	3549149	DNA-binding_transcriptional_activator_MalT
rplB	BW25113_RS17195	3443902	3444723	50S_ribosomal_protein_L2
cnu	BW25113_RS08505	1699206	1699421	H-NS-_and_StpA-binding_protein
BW25113_RS12530	BW25113_RS12530	2514532	2514607	tRNA-Val
BW25113_RS11635	BW25113_RS11635	2323277	2327791	alpha-2-macroglobulin_family_protein
glnD	BW25113_RS00835	182465	185137	protein-PII_uridylyltransferase/uridylyl-removing_enzyme
accD	BW25113_RS12095	2426491	2427405	acetyl-CoA_carboxyltransferase_subunit_&beta;
mnmG	BW25113_RS19445	3917104	3918993	5-carboxymethylaminomethyluridine-tRNA_synthase_subunit_MnmG
sgcB	BW25113_RS22365	4520072	4520350	putative_PTS_enzyme_IIB_component_SgcB
aceA	BW25113_RS20830	4207037	4208341	isocitrate_lyase
BW25113_RS07355	BW25113_RS07355	1462178	1463406	IS3-like_element_IS2_family_transposase
iscX	BW25113_RS13165	2649895	2650095	accessory_iron-sulfur_cluster_assembly_protein_IscX
hyaC	BW25113_RS05055	1030522	1031229	hydrogenase_1_cytochrome_<i>b</i>_subunit
ydjJ	BW25113_RS09285	1852047	1853090	putative_zinc-binding_dehydrogenase_YdjJ
allD	BW25113_RS02655	540770	541819	ureidoglycolate_dehydrogenase
nanS	BW25113_RS22405	4526431	4527411	<i>N</i>-acetyl-9-<i>O</i>-acetylneuraminate_esterase
ygiF	BW25113_RS15860	3193023	3194324	inorganic_triphosphatase
ybhK	BW25113_RS04050	811195	812103	putative_transferase_YbhK
mhpF	BW25113_RS01815	368377	369327	acetaldehyde_dehydrogenase_(acetylating)_MhpF
yciT	BW25113_RS06715	1337854	1338603	DNA-binding_transcriptional_dual_regulator_YciT
yadH	BW25113_RS00640	140189	140959	putative_ABC_transporter_membrane_subunit_YadH
mdlA	BW25113_RS02320	464327	466099	ABC_transporter_family_protein_MdlA
glrR	BW25113_RS13315	2680828	2682162	DNA-binding_transcriptional_activator_GlrR
ykfM	BW25113_RS01095	234744	235223	uncharacterized_protein_YkfM
BW25113_RS14895	BW25113_RS14895	2992343	2992416	tRNA-Gly
asmA	BW25113_RS10775	2133240	2135093	putative_assembly_protein_AsmA
gspA	BW25113_RS17225	3447288	3448757	type_II_secretion_system_protein_GspA
dusA	BW25113_RS21025	4251597	4252634	tRNA-dihydrouridine_synthase_A
thiQ	BW25113_RS00325	68716	69414	thiamine_ABC_transporter_ATP_binding_subunit
yeeR	BW25113_RS10450	2068260	2069792	CP4-44_prophage;_inner_membrane_protein_YeeR
folC	BW25113_RS12090	2425153	2426421	bifunctional_folylpolyglutamate_synthetase_/_dihydrofolate_synthetase
BW25113_RS25635	BW25113_RS25635	1645808	1646965	tyrosine-type_recombinase/integrase
yfdX	BW25113_RS12390	2487246	2487881	protein_YfdX
BW25113_RS14005	BW25113_RS14005	2811143	2811219	tRNA-Arg
dfp	BW25113_RS18895	3806091	3807311	fused_4'-phosphopantothenoylcysteine_decarboxylase_and_phosphopantothenoylcysteine_synthetase
thiC	BW25113_RS20725	4184132	4186027	phosphomethylpyrimidine_synthase
rimK	BW25113_RS04420	887423	888325	ribosomal_protein_S6_modification_protein
yegV	BW25113_RS10955	2174575	2175540	putative_sugar_kinase_YegV
xapA	BW25113_RS12555	2517404	2518237	xanthosine_phosphorylase
yaiY	BW25113_RS01960	394481	394789	DUF2755_domain-containing_inner_membrane_protein_YaiY
ascG	BW25113_RS14125	2831613	2832623	DNA-binding_transcriptional_repressor_AscG
emtA	BW25113_RS06210	1238636	1239247	lytic_murein_transglycosylase_E
lptF	BW25113_RS22120	4476035	4477135	lipopolysaccharide_transport_system_protein_LptF
yffQ	BW25113_RS12765	2556951	2557328	CPZ-55_prophage;_uncharacterized_protein_YffQ
nudL	BW25113_RS09485	1890427	1891005	putative_NUDIX_hydrolase_with_low_3-phosphohydroxypyruvate_phosphatase_activity
yeeZ	BW25113_RS10535	2081785	2082609	putative_epimerase_YeeZ
ccmE	BW25113_RS11465	2288380	2288859	periplasmic_heme_chaperone
rrrD	BW25113_RS02865	573069	573566	DLP12_prophage;_lysozyme
BW25113_RS18165	BW25113_RS18165	3646588	3646966	hypothetical_protein
yidE	BW25113_RS19155	3857972	3859633	putative_transporter
bamD	BW25113_RS13555	2729505	2730242	outer_membrane_protein_assembly_factor_BamD
adeD	BW25113_RS19040	3837324	3839090	adenine_deaminase
uvrB	BW25113_RS04045	808982	811003	UvrABC_excision_nuclease_subunit_B
glcE	BW25113_RS15470	3118829	3119881	glycolate_dehydrogenase,_predicted_FAD-binding_subunit
yeeT	BW25113_RS10460	2070298	2070519	CP4-44_prophage;_DUF987_domain-containing_protein_YeeT
metE	BW25113_RS19880	4006413	4008674	cobalamin-independent_homocysteine_transmethylase
chiP	BW25113_RS03510	703790	705196	chitooligosaccharide_outer_membrane_channel
pgaB	BW25113_RS05330	1083295	1085313	poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine_<i>N</i>-deacetylase_and_&beta;-1,6_glycoside_hydrolase
groL	BW25113_RS21525	4360842	4362488	chaperonin_GroEL
rluD	BW25113_RS13550	2728390	2729370	23S_rRNA_pseudouridine<sup>1911/1915/1917</sup>_synthase
pstS	BW25113_RS19380	3903845	3904885	phosphate_ABC_transporter_periplasmic_binding_protein
nadC	BW25113_RS00545	114239	115132	quinolinate_phosphoribosyltransferase_(decarboxylating)
ygfM	BW25113_RS14975	3013899	3014678	putative_oxidoreductase
smg	BW25113_RS17030	3425350	3425823	DUF494_domain-containing_protein_Smg
ibsD	BW25113_RS25750	3188125	3188184	putative_toxic_peptide_IbsD
lipB	BW25113_RS03275	657093	657734	lipoyl(octanoyl)_transferase
ybjD	BW25113_RS04550	911929	913587	DUF2813_domain-containing_protein_YbjD
bglA	BW25113_RS15085	3037027	3038460	6-phospho-&beta;-glucosidase_A
BW25113_RS23085	BW25113_RS23085	1282166	1282297	RtT_sRNA
cdd	BW25113_RS11180	2225323	2226207	cytidine/deoxycytidine_deaminase
mtlA	BW25113_RS18690	3765641	3767554	mannitol-specific_PTS_enzyme_IICBA_component
trg	BW25113_RS07455	1486727	1488367	methyl-accepting_chemotaxis_protein_Trg
BW25113_RS23025	BW25113_RS23025	4489410	4490590	phosphoethanolamine_transferase
stfR	BW25113_RS23745	1423306	1426668	Rac_prophage;_putative_prophage_side_tail_fiber_protein_StfR
amyA	BW25113_RS10085	1999637	2001124	alpha-amylase
ymfL	BW25113_RS05955	1198724	1199281	e14_prophage;_uncharacterized_protein_YmfL
tamA	BW25113_RS21930	4432199	4433932	translocation_and_assembly_module_subunit_TamA
fadE	BW25113_RS01120	237346	239790	acyl-CoA_dehydrogenase
yfjT	BW25113_RS13755	2764507	2764974	CP4-57_prophage;_uncharacterized_protein_YfjT
yceD	BW25113_RS05665	1142250	1142771	DUF177_domain-containing_protein_YceD
cyuP	BW25113_RS16145	3250038	3251369	L-cysteine_importer
eda	BW25113_RS09700	1926372	1927013	KHG/KDPG_aldolase
yehP	BW25113_RS11065	2201446	2202582	VWA_domain-containing_protein_YehP
dsbD	BW25113_RS21490	4353162	4354859	thiol-disulfide_exchange_protein_DsbD
slyB	BW25113_RS08590	1714133	1714600	outer_membrane_lipoprotein_SlyB
BW25113_RS10890	BW25113_RS10890	2163174	2163650	DeoR/GlpR_transcriptional_regulator
ygbM	BW25113_RS14255	2857595	2858371	putative_2-oxo-tetronate_isomerase_YgbM
ychF	BW25113_RS06265	1252177	1253268	redox-responsive_ATPase_YchF
dmsB	BW25113_RS04645	938870	939487	dimethyl_sulfoxide_reductase_subunit_B
djlC	BW25113_RS03370	675668	677119	co-chaperone_DjlC
ydeM	BW25113_RS07850	1573890	1575047	putative_anaerobic_sulfatase_maturation_enzyme_YdeM
efeO	BW25113_RS05300	1077699	1078826	ferrous_iron_transport_system_protein_EfeO
mdtQ	BW25113_RS11155	2220802	2222237	multidrug_resistance_outer_membrane_protein_MdtQ
BW25113_RS12535	BW25113_RS12535	2514612	2514687	tRNA-Lys
yncJ	BW25113_RS07540	1503091	1503321	DUF2554_domain-containing_protein_YncJ
malI	BW25113_RS08475	1692409	1693437	DNA-binding_transcriptional_repressor_MalI
purU	BW25113_RS06425	1283238	1284080	formyltetrahydrofolate_deformylase
prlF	BW25113_RS16225	3270361	3270696	antitoxin_PrlF
yddL	BW25113_RS07715	1539995	1540285	putative_uncharacterized_protein_YddL
pdeG	BW25113_RS06065	1212784	1214307	putative_cyclic_di-GMP_phosphodiesterase_PdeG
ygjK	BW25113_RS15995	3222247	3224598	glycoside_hydrolase
yajD	BW25113_RS02120	426061	426408	HNH_nuclease_family_protein_YajD
glpX	BW25113_RS20365	4104497	4105507	fructose-1,6-bisphosphatase_2
yfcD	BW25113_RS12010	2412113	2412655	putative_Nudix_hydrolase_YfcD
glgS	BW25113_RS15825	3185098	3185298	surface_composition_regulator
nanR	BW25113_RS16725	3367057	3367848	NanR
hdhA	BW25113_RS08470	1691530	1692297	7-&alpha;-hydroxysteroid_dehydrogenase
ompF	BW25113_RS04820	981350	982438	outer_membrane_porin_F
eutD	BW25113_RS12815	2565848	2566864	phosphate_acetyltransferase_EutD
BW25113_RS10435	BW25113_RS10435	2063755	2063952	TonB-dependent_receptor_plug_domain-containing_protein
xylH	BW25113_RS18520	3727080	3728261	xylose_ABC_transporter_membrane_subunit
yeaY	BW25113_RS09450	1884208	1884789	Slp_family_lipoprotein_YeaY
ybhD	BW25113_RS03990	795078	796031	putative_DNA-binding_transcriptional_regulator_YbhD
rffM	BW25113_RS19705	3973316	3974056	UDP-N-acetyl-D-mannosaminuronic_acid_transferase
psd	BW25113_RS21620	4379209	4380177	phosphatidylserine_decarboxylase_proenzyme
fbaB	BW25113_RS10940	2170991	2172043	fructose-bisphosphate_aldolase_class_I
astE	BW25113_RS09125	1820212	1821180	succinylglutamate_desuccinylase
gntK	BW25113_RS17795	3570425	3570952	D-gluconate_kinase,_thermostable
ycgM	BW25113_RS06145	1223535	1224194	putative_isomerase/hydrolase
panZ	BW25113_RS17905	3591344	3591727	PanD_maturation_factor
metC	BW25113_RS15615	3145595	3146782	cystathionine_&beta;-lyase_/_L-cysteine_desulfhydrase_/_alanine_racemase
yqgC	BW25113_RS25875	3079546	3079761	protein_YqgC
slyD	BW25113_RS17355	3471266	3471856	FKBP-type_peptidyl-prolyl_<i>cis-trans</i>_isomerase_SlyD
